origin,job_original,populations_original,origin_DA_id,job_increase
13460206,172350.0,283078.0,35200727,21905.0
13468395,36940.0,88680.0,35203157,8950.0
13452020,280.0,806.0,35204047,0.0
13460214,2960.0,24498.0,35202974,0.0
13460215,610.0,7815.0,35201788,0.0
13468415,50865.0,131063.0,35204662,8950.0
13443840,85.0,488.0,35203736,0.0
13460228,71510.0,239101.0,35200606,0.0
13460236,51445.0,193623.0,35204551,1855.0
13443853,260.0,4224.0,35203697,0.0
13460238,174480.0,343545.0,35204546,31045.0
14066450,446840.0,390238.0,35200792,85050.0
13468441,3900.0,9273.0,35201660,0.0
30032676,2965.0,8535.0,35204473,0.0
14017319,215200.0,289269.0,35201359,13170.0
13460263,153720.0,304616.0,35201126,1170.0
13452073,2830.0,8976.0,35200451,0.0
30073640,3000.0,24538.0,35202994,0.0
13460272,461215.0,386327.0,35202791,71540.0
13452087,720.0,7045.0,35203288,0.0
13460279,200920.0,273285.0,35203859,8715.0
13452089,630.0,4456.0,35202120,0.0
13443905,3910.0,39123.0,35200209,0.0
13460289,186530.0,326617.0,35204867,12740.0
13468485,11005.0,29755.0,35203144,0.0
30024519,13325.0,39112.0,35204262,54830.0
13443912,910.0,9433.0,35203719,0.0
13460297,227380.0,325046.0,35202881,12865.0
13468498,10895.0,29857.0,35203141,0.0
13452116,720.0,7670.0,35203287,0.0
13460312,145090.0,327564.0,35204539,272905.0
13460313,140770.0,318072.0,35204540,278970.0
13460319,2960.0,24519.0,35202975,0.0
30040929,359200.0,307514.0,35200708,28355.0
13460322,177695.0,345759.0,35201123,4240.0
13452131,10305.0,27895.0,35202396,41945.0
13460321,2960.0,24373.0,35204434,0.0
13452133,12615.0,33795.0,35204127,0.0
13460326,75000.0,249752.0,35204482,0.0
13452135,12785.0,34982.0,35203467,0.0
13460327,172020.0,331406.0,35201125,1825.0
13460329,67005.0,235536.0,35200596,0.0
13468523,89620.0,196732.0,35204220,9350.0
30057322,3385.0,17449.0,35204738,0.0
13468518,31870.0,121346.0,35204191,0.0
14041968,134715.0,243241.0,35201411,10570.0
30081906,10150.0,32231.0,35203394,0.0
30098290,50050.0,187063.0,35204552,1170.0
13443956,3850.0,38861.0,35200216,0.0
14017403,121305.0,235670.0,35201315,1065.0
13460348,142625.0,281463.0,35200570,0.0
